  id   |                serial_no                
  1358 | D19 06 19
  1361 | 06 14 01
  1370 | September 27 2017
  1371 | 09 19 01
  1377 | A 08 18 11
  1380 | 20 Nov.2019
  1381 | 20 Nov.2019
  1382 | A 02 24 16
  1390 | Apr 08 2011
  1394 | D 19 06 19
  1407 | I   19   04    20
  1629 | unknown due to burning of casing
  1636 | D21 0521
  1639 | D21 0521
  1661 | July 17, 2017
  1662 | 08 18 11
  1442 | D 19 06 19
  1447 | Sep 04 2015
  1450 | 02 28 02
  1455 | 14 AVR 2020
  1458 | NA 0323 1.4S
  1481 | MAR 18 2019
  1465 | A012202 BAM NR PT1-0157
  1480 | 06 14 01
  1482 | Oct 17, 2019
  1484 | K 20 03 21
  1486 | DEC 23 2011
  1491 | 21 Jan 2020
  1492 | D 19 06 19
  1495 | D 19 06 19
  1630 | unknown due to burning of casing
  1654 | Mar 11 2019
  1502 | May 23 2018
  1544 | B 18 11 18
  1546 | 19 05 20
  1557 | 02 28 02
  1558 | G18 02 19
  1559 | A 08 18 14
  1560 | A 08 18 14
  1561 | 09 OCT 2019
  1565 | D21 0522
  1569 | JUN 21 2018?
  1608 | 23 AOUT 2019
  1609 | 15 JUIL. 2020
  1612 | 08 18 11
  1634 | D1 0521
  1631 | B 18 10 18
  1652 | 16 Aug 2018
  1664 | Lot # J201122 (no date code visible)
  1665 | Mar 22 2019
  1671 | K 20 03 21
  1674 | A 01 12 16
  1681 | A 21 03 21
  1682 | A 21 03 21
  1689 | Aug 21 2020
  1690 | july 19 2019
  1724 | D21 0521
  1725 | A 04 15 13
  1727 | 15 Jul 2020
  1737 | D 19 06 19
  1741 | G21 0821
  1742 | D21 0521
  1777 | D21 0521
  1778 | A 21 03 21
  1779 | A 21 03 21
  1780 | 20 AOOT 2020
  1781 | Nov 2018
  6207 | E22 0323
  1978 | D21 0521
  1801 | Nov 11 2016
  1810 | A 21 03 21
  1813 | G 18 02 19
  1819 | D21 0521
  1820 | D21 0521
  1823 | 29 oct 2021
  1824 | 29 oct 2021
  1825 | 29 oct 2021
  1826 | H21 1021
  1828 | A 04 15 13
  1830 | 18 Jul 2021
  1832 | 21 06 21
  2612 | g 2008020
  1836 | 06 22 12
  1838 | April 2020
  1841 | H21 1021
  1842 | H21 1021
  1845 | 09 04 12
  1888 | H21 1021
  1889 | 11 SEP 2021
  1927 | 20 MARS 2020
  1929 | H21 1021
  1930 | H21 1021
  1931 | H21 1021
  1932 | H21 1021
  1934 | D 19 06 19
  1945 | D21 0521
  1951 | A 08 18 11
  1956 | M21 1021
  1957 | H21 0921
  1958 | 05 May 2021
  1963 | A 07 14 17
  1966 | A 01 12 16
  1969 | H21 0921
  1970 | I21 1121
  1971 | l21 1021
  1973 | A 01 12 16
  1974 | A 01 12 16
  2012 | 10 MAR5 2020
  2013 | D 19 06 19
  2016 | 050322 01
  2017 | 050322 01
  2023 | A22 0222
  2024 | A22 0222
  2025 | A22 0222
  2028 | 15 Jun 1996
  2030 | H21 0921
  2035 | 22 July 2021
  2036 | 22 July 2021
  2039 | A 11 15 11
  2046 | May 2022
  2048 | D21 0521
  2049 | D21 0521
  2057 | 19 03 21
  2058 | 08 18 11
  2059 | 08 18 11
  2066 | H21 1021
  2068 | H21 1021
  2070 | D 21 05 21
  2072 | 03 22 21 - 01
  2074 | A 21 03 21
  2084 | 18 Aug 2021
  2085 | A10 16 12
  2086 | A 03 30 17
  2087 | A 03 30 17
  2092 | A 04 20 09
  2138 | E22 05DD
  2095 | H21 1021
  2139 | J 21 04 22
  2141 | Jan 2 2020
  2150 | D19 06 19
  2151 | J21 04 22
  2152 | E22 0522
  2157 | 21 MARS 2022
  2607 | April 21 2021
  2611 | K 20 03 21
  2615 | Motor casing fused in Aero Pack Adapter
  2617 | E22 0323
  2622 | E22 0622
  2161 | K  20  03  21
  2379 | 16 JUL 2021
  2380 | H21 10 21
  2413 | None on motor
  2417 | E21 0621
  2422 | I 22 10 22
  2163 | J 22 10 22
  2164 | J 22 10 22
  2165 | J 22 10 22
  2171 | 10 Fev. 2021
  2172 | 10 FEV 2021
  2174 | A 08 18 11
  2175 | A 08 18 11
  2176 | A 08 18 11
  2177 | Aug 21 2019
  2178 | 12 MAY 2021
  2618 | E21 0621
  2188 | 15 4 21
  2192 | jul 29 2020
  2200 | D21 0521
  2201 | D21 0521
  2204 | 12 01 05
  2205 | 07 10 06
  2208 | H21 0921
  2209 | H21 0921
  2211 | 06 Feb 2022
  2214 | J 22 10 22
  2222 | JUN 25, 2019
  2223 | JUN 25, 2019
  2264 | A 21 03 21
  2268 | E22 0323
  2269 | E22 0123
  2271 | A 21 03 21
  2325 | I21 1121
  2326 | I21 1121
  2329 | Oct 01 2014
  2276 | 042822 01
  2277 | may 12 2022
  2317 | B 18 10 18
  2331 | B 23 03 23
  2368 | j 22 10 22
  2623 | E22 0323
  2371 | E22 0123
  2372 | A 06 28 11 1
  2373 | A 23 02 23
  2429 | L 22 02 23
  2431 | E22 0123
  2436 | B 23 03 23
  2437 | B 23 03 23
  2443 | 22 10 22
  2444 | 22 10 22
  2445 | A 06 22 12
  2625 | E22 0323
  2628 | 2017 12 19
  2634 | Jan 13 2022
  2637 | 23 AGUT 2021
  2446 | J 22 10 22
  2482 | E22 0323
  2484 | B 18 09 18
  2485 | E22 0323
  2486 | AUG 4 2022
  2487 | 22 10 22
  2488 | 121 1121
  2491 | E22 0323
  2494 | G22 0223
  2505 | J22 10 22
  2507 | C 21 03 21
  2509 | A 03 11 13
  2512 | A 06 28 11
  2516 | A 06 22 12
  2517 | H21 1021
  2519 | B23 03 23
  2541 | A 23 02 23
  2521 | C21 0421
  2522 | J 20 10 20
  2523 | J 20 10 20
  2524 | J 20 10 20
  2525 | E22 0622
  2526 | I 21 11 21
  2528 | E21 0621
  2529 | 22 10 22
  2530 | 22 10 22
  2532 | A 03 30 17
  2533 | A 05 15 12
  2535 | K 20 03 21
  2543 | B 23 03 23
  2544 | E22 0323
  2545 | J 22 10 22
  2578 | A 03 30 17
  2579 | B22 0322
  2580 | g21 0821
  2583 | E22 0323
  2584 | E22 0323
  2585 | E22 0123
  2586 | L 22 02 23
  2588 | E22 0123
  2603 | c 23 05 23
  2604 | G 22 1022
  2642 | D21 0521
  2676 | F22 0722
  2775 | E22 0323
  2874 | A 01 14 15
  6273 | h21 1021
  2875 | A 07 14 17
  2907 | 08 18 11
  3204 | E22 0328
  3270 | B 23 03 23
  3303 | A013100 BAM NR PT1-0156
  3402 | I21 1021
 10002 | 1 J 1 24 289 00
  3501 | E22 0323
  3534 | I21 1121
  3666 | E22 0323
  3699 | A24 0224
  3700 | A24 0224
  3798 | I 19 03 21
  3799 | 20 08 20
  3897 | no label, no code on package
  3898 | no label, no code on package
  4030 | A24 0324
  4029 | K23 0124
  5415 | A 04 15 13
  5481 | A22 0222
  5514 | A22 0222
  5646 | A 06 22 12
  5745 | 20 Jul 2023
  5844 | H21 1021
  6042 | A 24 04 24
  4062 | J 22 10 22
  4128 | L22 0423
  4194 | 5 c24 0324
  4195 | 5 c24 0324
 10003 | 1 J 1 24 289 00
  4326 | A24 04 24
  4458 | Aug 24, 2022
  4491 | A 11 15 11
  4524 | too damaged
  5151 | A24 0224
  4656 | Aug 27 2015
  4755 | D21 0521
  4986 | A 23 02 23
  5019 | Aug 04, 2021
  5052 | A 09 02 09
  5184 | C 23 03 23
  6009 | June 02, 2022
  6108 | A 04 15 13
  6109 | A 04 15 13
  6110 | A 04 15 13
  6208 | E22 0323
  6405 | 0J1 24 276 00
  6438 | 31 MARS 2021
  6637 | 021207 A
  6768 | K 20 03 21
  6834 | A 24 04 24
  6933 | 1 J 1 24 289
  6999 | C 23 10 23
  7098 | E22  0323
  7131 | E22  0522
  7164 | 2A24 0324
  7395 | C 23 10 23
  7428 | 1 J 1 24 289 00
  7659 | A 24 04 24
  7692 | K 20 03 21
  7824 | A 24 04 24
  7825 | A 24 04 24
  7923 | 1j1 24 289 00
  8055 | A 24 04 24
  8121 | 10 30 20
  8154 | A 08 29 11
  8187 | E22 0323
  8220 | B22 032206
  8253 | L 22 02 23
  8286 | C 23 07 23
  8287 | C 23 07 23
  8352 | 1 j 1 24 289 00
  8353 | 1 j 1 24 289 00
  8385 | SEP 28 2012
  8418 | 18 August 2021
  8550 | K23 0124
  8649 | L 22 12 22
  8650 | 3 A24 0824
  8652 | A 23 02 23
 10035 | E22 0323
 10101 | 1 J 1 24 289 00
 10167 | C 23 10 23
 10200 | MEL 07/1724
 10233 | 12 May 2021
 10332 | 1H1 24225 00
 10365 | C 23 10 23
 10431 | 024 0524
 10497 | 1 F 2 25 174 03
 10563 | I21 0422
 10596 | 1J1 24 289 00
 10629 | 1 F 2 25 182 00
 10662 | A 09 09 16
  8651 | 3 A24 0824
 10168 | C 23 10 23
 10201 | MEL 07/1724
 10202 | MEL 07/1724
 10663 | A 04 15 13
 10664 | A 04 15 13
 10665 | A 04 15 13
 10761 | May 27 2022
 10827 | A 04 02 12
 10860 | 2 D 2 25 1 18 00
 10893 | 19 08 19
 10959 | 2021 No. 6144
 10992 | 02 02 04 A
 11058 | Nov 04 2016
 11091 | 2 G 2 25 21 0 00
  8682 | A24 04 24
  8748 | B 23 03 23
  8750 | c24 0324
  8781 | A 08 18 11
  8914 | B22 0224
  9045 | A 08 18 11 / A011415
  9046 | A 08 18 11 / A011415
  9078 | K23 0124
  9081 | E22 0323
  9082 | I21 1021
  9083 | I21 1021
  9084 | I21 1021
  9144 | A 24 04 24
  9243 | D21 0521
  9310 | A 06 28 11
  9342 | I21 10 21
  9838 | OI1 24270 00
  9376 | 1H1 24225 00
  9474 | A24 0324
  9540 | Jun 03 2019
  9606 | 1 J 1 24 289 00
  9738 | 2 A 2 25 024 00
  9772 | B22 0322
  9804 | B22 0224
 11092 | 2 D 2 25 1 18 00
 11124 | 2 1 3 25 3 03 00
 11256 | A 24 04 24
 11322 | 0I1 24 270 00
 11355 | E22 0123
 11487 | 1J1 24 289 00
 11520 | 1J1 24 289 00
 11619 | 03 30 17
 11652 | 2 I 3 25 3 03 00
 11653 | I 19 03 21
 11751 | Dec 01 2017
 12147 | 2 K 1 25 3 36 00
 12345 | 2 1 2 25 28 2 00
 12411 | 2 D 2 25 1 15 00
 12906 | 2 I 2 25 3 03 00
 13038 | 2E1 25 14 2 00
 13071 | 25 330 00
 12609 | B22 0322
 12642 | 5 C24 0324
 12774 | B 23 03 23
 12775 | B 23 03 23
 12840 | L23 0124
 12874 | E21 0721
 12907 | 2 K 1 25 3 36 00
 13302 | 2 I 2 25 28 0 00
 13303 | 2 I 2 25 28 0 00
 13304 | 2 I 2 25 28 0 00
 13467 | E21 0721
 13468 | E21 0721
 13469 | 5C24 0324
 13470 | 2 L 3 24 347 00
 13501 | 2 G 2 25 210 00
 13533 | 25 330 00
 13698 | 0 I 1 24 270 00
 13797 | 2 E 1 25 14 2 00
 13897 | E21 0721
 13929 | 11 30 07
 13962 | 2 L 1 25 36 5 00
 13995 | 2 E 2 25 132 00
 14061 | 2 K 1 25 3 36 00
 14161 | K23 0124
 14193 | 1 J 1  24 289 00
 14292 | 2 G 2 25 210 00
 14391 | C 23 06 23
 14424 | 2K1 25336 00
 14457 | H21 1021
 14458 | H21 1021
 14459 | H21 1021
 14787 | 2 D 2 25 1 18 00
 14952 | 1 K 1 25 34 2 00
 14985 | 2 D 2 25 1 18 00
 15018 | 0I1 24270 00
 15217 | G22 0723
 15282 | 2J1 25 309 00
 15283 | E22 0123
 15284 | E22 0123
 15349 | 2 25 1 18
 15414 | 2 I 2 25 281 00
 15447 | 1 J 1 24 289 00
 15480 | 3 F 1 25 197 00
 15513 | 1J1 24 289 00
 15546 | E21 0721
(937 rows)

